affiliate_product_row_id,affiliate_product_id,name,brand,retailer,department,category,category_level_1,category_level_2,category_level_3,category_path,description,availability,affiliate_condition,price_currency,price_msrp,price_sale,size,original_color,primary_hex_color,primary_color_family,material,pattern,original_product_category,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
11,ULLA-JOHNSON-0456883,Blair Top,Ulla Johnson,Shopbop,WOMEN,Blouses,Tops,Blouses,,Tops > Blouses,"This understated blouse by Ulla Johnson is a closet staple. It is cut from cotton fabric, in blanc, finished with a v-neck neckline. Styled for everyday.",IN_STOCK,NEW,USD,195,195,P,Blanc,#F8F7ED,White,Cotton,Solid,Tops > Blouses,White,,Cotton,Solid,Everyday,V-Neck,Short,Puffy,Cropped,,,,,,,,,,blair-top.jpg
12,TIBI-9679470,Bleached Denim Sid Jeans,Tibi,Shopbop,WOMEN,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"A refined jeans from Tibi. It is cut from cotton fabric, in bleached denim, an ankle length. Styled for everyday.",BACKORDER,NEW,USD,425,382.5,24,Bleached Denim,#264BAD,Blue,Cotton,Solid,Bottoms > Jeans,Blue,24,Cotton,Solid,Everyday,,,,Ankle,Mid,Regular (30 in - 33 in),Wide Leg,,,,,,,bleached-denim-sid-jeans.jpg
13,TIBI-9679470-01,Bleached Denim Sid Jeans - Bleached Denim,Tibi,Shopbop,WOMEN,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"A refined jeans from Tibi. It is cut from cotton fabric, in bleached denim, an ankle length. Styled for everyday.",IN_STOCK,NEW,USD,425,425,25,Bleached Denim,#314ABA,Blue,Cotton,Solid,Bottoms > Jeans,Blue,25,Cotton,Solid,Everyday,,,,Ankle,Mid,Regular (30 in - 33 in),Wide Leg,,,,,,,bleached-denim-sid-jeans.jpg
14,FRESCOBOL-CA-7788056,Blue Teal Nylon Copacabana P,Frescobol Carioca,Bergdorf Goodman,WOMEN,Trunks,Bottoms,Swim,Trunks,Bottoms > Swim > Trunks,"Frescobol Carioca's understated take on the trunk. It is cut from swim fabric, in ocean blue/topaz, a short length. Styled for vacation.",IN_STOCK,NEW,USD,90,54,S,Ocean Blue/topaz,#2C52B0,Blue,Swim,Solid,Bottoms > Swim > Trunks,Blue,S,Swim,Solid,Vacation,,,,Short,,,,,,,,,,blue-teal-nylon-copacabana-p.jpg
15,LA-DOUBLE-J-6281060,Bowling Cardigan,La Double J,Shopbop,WOMEN,Cardigans,Tops,Sweaters & Knits,Cardigans,Tops > Sweaters & Knits > Cardigans,"A relaxed cardigan from La Double J. It is cut from knit fabric, in a stripe print, finished with a v-neck neckline. Styled for everyday.",IN_STOCK,NEW,USD,495,445.5,XS,Nero-Cammello-Giallo,#EBD739,Yellow,Knit,Stripe,Tops > Sweaters & Knits > Cardigans,Yellow,XS,Knit,Stripe,Everyday,V-Neck,Long,,Long,,,,,,,,Button,,bowling-cardigan.jpg
16,SKIN-4773295,Brea Caftan,Skin,Shopbop,WOMEN,Blouses,Tops,Blouses,,Tops > Blouses,"Skin's refined take on the blouse. It is cut from cotton fabric, in white, finished with a collared neckline. Styled for everyday.",IN_STOCK,NEW,USD,288,216,0,White,#F4FDFB,White,Cotton,Solid,Tops > Blouses,White,0,Cotton,Solid,Everyday,Collared,Long,Puffy,Midi,,,,,,,,,,brea-caftan.jpg
17,SEA-9407718,Cam Twill Pants,Sea,Shopbop,WOMEN,Cargo,Bottoms,Pants,Cargo,Bottoms > Pants > Cargo,"A versatile cargo bottoms from Sea. It is cut from cotton fabric, in army, an ankle length. Styled for everyday.",IN_STOCK,NEW,USD,295,250.75,XS,Army,#2F8943,Green,Cotton,Solid,Bottoms > Pants > Cargo,Green,XS,Cotton,Solid,Everyday,,,,Ankle,Mid,Regular (30 in - 33 in),Wide Leg,,,,,Button,,cam-twill-pants.jpg
18,SEA-9407718-01,Cam Twill Pants - Black,Sea,Shopbop,WOMEN,Cargo,Bottoms,Pants,Cargo,Bottoms > Pants > Cargo,"Sea's structured take on the cargo bottoms. It is cut from cotton fabric, in black, an ankle length.",IN_STOCK,NEW,USD,295,177,,Black,#288844,Green,Cotton,,Bottoms > Pants > Cargo,Green,,Cotton,,,,,,Ankle,,,,,,,,,,cam-twill-pants.jpg
19,HELMUT-LANG-9031519,Camel V Neck Sweater,Helmut Lang,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"Helmut Lang's laid-back take on the pullover. It is cut from knit fabric, in precision heather, finished with a v-neck neckline. Styled for everyday.",IN_STOCK,NEW,USD,450,405,S,Precision Heather,#94948C,Grey,Knit,Solid,Tops > Sweaters & Knits > Pullovers,Grey,S,Knit,Solid,Everyday,V-Neck,Long,Cuffed,,,,,,,,,,,camel-v-neck-sweater.jpg
20,CANADA-GOOSE-7735379,Camp Hoody,Canada Goose,Shopbop,WOMEN,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"This relaxed puffers & parkas by Canada Goose is a closet staple. It is cut from knit fabric, in black, finished with a hooded neckline. Styled for active.",IN_STOCK,NEW,USD,575,517.5,S,Black,#22181D,Black,Knit,Solid,Tops > Jackets & Coats > Puffers & Parkas,Black,S,Knit,Solid,Active,Hooded,Long,,,Mid,,,,,,,Zipper,Outer,camp-hoody.jpg
21,SEA-1512829,Cara Twill Shorts,Sea,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"A refined tailored bottoms from Sea. It is cut from cotton fabric, in khaki, a short length. Styled for everyday.",IN_STOCK,NEW,USD,275,206.25,0,Khaki,#2F8648,Green,Cotton,Solid,Bottoms > Shorts > Tailored,Green,0,Cotton,Solid,Everyday,,,,Short,High,Short (<6 in),,,,,,,,cara-twill-shorts.jpg
22,LESLIE-AMON-2131721,Carla Bikini Top,Leslie Amon,Shopbop,WOMEN,Bikinis,Tops,Swim,Bikinis,Tops > Swim > Bikinis,"Leslie Amon's relaxed take on the bikini. It is cut from stretchy fabric, in a polkadot print, finished with a strapless neckline. Styled for vacation.",IN_STOCK,NEW,USD,53,31.8,One Size,Polka Dots Crinkle,#F7F7FD,White,Stretchy,Polkadot,Tops > Swim > Bikinis,White,,Stretchy,Polkadot,Vacation,Strapless,Sleeveless,,Bra,High,,,,,,,,,carla-bikini-top.jpg
23,DENIMIST-2194128,Carpenter Drop Pants,Denimist,Shopbop,WOMEN,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"Denimist's understated take on the jeans. It is cut from cotton fabric, in jinx, an ankle length. Styled for everyday.",IN_STOCK,NEW,USD,265,185.5,24,Jinx,#304EB8,Blue,Cotton,Solid,Bottoms > Jeans,Blue,24,Cotton,Solid,Everyday,,,,Ankle,High,Regular (30 in - 33 in),Wide Leg,,,,,,,carpenter-drop-pants.jpg
24,DENIMIST-2194128-01,Carpenter Drop Pants - Light Blue White Stripe,Denimist,Shopbop,WOMEN,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"This easy-wearing jeans by Denimist is a closet staple. It is cut from cotton fabric, in a stripe print, an ankle length. Styled for everyday.",IN_STOCK,NEW,USD,295,265.5,25,Light Blue White Stripe,#FBF5FC,White,Cotton,Stripe,Bottoms > Jeans,White,25,Cotton,Stripe,Everyday,,,,Ankle,Mid,Regular (30 in - 33 in),Wide Leg,,,,,,,carpenter-drop-pants.jpg
25,DENIMIST-2194128-02,Carpenter Drop Pants - Light Blue White Stripe,Denimist,Shopbop,WOMEN,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"Denimist's elevated take on the jeans. It is cut from cotton fabric, in a stripe print, an ankle length. Styled for everyday.",IN_STOCK,NEW,USD,295,236,24,Light Blue White Stripe,#FFFEF6,White,Cotton,Stripe,Bottoms > Jeans,White,24,Cotton,Stripe,Everyday,,,,Ankle,Mid,Regular (30 in - 33 in),Wide Leg,,,,,,,carpenter-drop-pants.jpg
26,STAUD-3443832,Caterina Shorts,STAUD,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"STAUD's polished take on the tailored bottoms. It is cut from cotton fabric, in wild orchid, a short length. Styled for everyday.",PREORDER,NEW,USD,195,195,S,Wild Orchid,#F084B1,Pink,Cotton,Solid,Bottoms > Shorts > Tailored,Pink,S,Cotton,Solid,Everyday,,,,Short,High,Short (<6 in),,,,,,,,caterina-shorts.jpg
27,TIBI-1262775,Classic Menswear Gabe Oversized Shirt,Tibi,Shopbop,WOMEN,Button Downs,Tops,Button Downs,,Tops > Button Downs,"Tibi's relaxed take on the button down. It is cut from cotton fabric, in tan/white multi, finished with a collared neckline. Styled for everyday.",IN_STOCK,NEW,USD,325,195,XS,Tan/White Multi,#C5AA80,Tan,Cotton,Solid,Tops > Button Downs,Tan,XS,Cotton,Solid,Everyday,Collared,Long,,Midi,,,,,,,,,,classic-menswear-gabe-oversized-shirt.jpg
28,FREE-PEOPLE-5530380,Classic Striped Crew,Free People,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"Free People's laid-back take on the pullover. It is cut from cotton fabric, in a stripe print, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,98,83.3,S,Black Combo,#F0F8F8,White,Cotton,Stripe,Tops > Sweaters & Knits > Pullovers,White,S,Cotton,Stripe,Everyday,Crew,Long,,Mid,,,,,,,,,,classic-striped-crew.jpg
29,AREA-7070912,Crystal Bustier Cup T-Shirt,Area,Shopbop,WOMEN,Bodysuits,Tops,Bodysuits,,Tops > Bodysuits,"A laid-back bodysuit from Area. It is cut from stretchy fabric, in white, finished with a strapless neckline. Styled for everyday.",IN_STOCK,NEW,USD,495,445.5,M,White,#FCF7F3,White,Stretchy,Solid,Tops > Bodysuits,White,M,Stretchy,Solid,Everyday,Strapless,Sleeveless,,Bra,,,,,,,,,Base,crystal-bustier-cup-t-shirt.jpg
30,AREA-7070912-01,Crystal Bustier Cup T-Shirt - White,Area,Shopbop,WOMEN,Bodysuits,Tops,Bodysuits,,Tops > Bodysuits,"A versatile bodysuit from Area. It is cut from stretchy fabric, in white, finished with a strapless neckline. Styled for everyday.",IN_STOCK,NEW,USD,495,396,S,White,#F6FAFA,White,Stretchy,Solid,Tops > Bodysuits,White,S,Stretchy,Solid,Everyday,Strapless,Sleeveless,,Bra,,,,,,,,,Base,crystal-bustier-cup-t-shirt.jpg
31,ISABEL-MARAN-4998889,Dalo Jacket,Isabel Marant,Shopbop,WOMEN,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"Isabel Marant's laid-back take on the puffers & parkas. It is cut from knit fabric, in black, finished with a hooded neckline. Styled for everyday.",IN_STOCK,NEW,USD,1075,1075,S,Black,#16231B,Black,Knit,Solid,Tops > Jackets & Coats > Puffers & Parkas,Black,S,Knit,Solid,Everyday,Hooded,Long,Puffy,Mid,Mid,,,,,,,Zipper,Outer,dalo-jacket.jpg
32,R13-1173297,Damon Overalls,R13,Shopbop,WOMEN,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"R13's relaxed take on the jeans. It is cut from cotton fabric, in toni blue, sleeveless sleeves. Styled for everyday.",IN_STOCK,NEW,USD,895,537,XS,Toni Blue,#314CB0,Blue,Cotton,Solid,Bottoms > Jeans,Blue,XS,Cotton,Solid,Everyday,,Sleeveless,,Ankle,High,,Wide Leg,,,,,,,damon-overalls.jpg
33,MADEWELL-9891623,Denim Sleeveless Mini Dress,Madewell,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"Madewell's laid-back take on the sundress. It is cut from cotton fabric, in fitzgerald wash, finished with a square neckline. Styled for everyday.",PREORDER,NEW,USD,128,128,2,Fitzgerald Wash,#3055B1,Blue,Cotton,Solid,Dresses > Sundresses,Blue,2,Cotton,Solid,Everyday,Square,Sleeveless,,Mini,Mid,,,,,,,,,denim-sleeveless-mini-dress.jpg
34,MADEWELL-9891623-01,Denim Sleeveless Mini Dress - Fitzgerald Wash,Madewell,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"This relaxed sundress by Madewell is a closet staple. It is cut from cotton fabric, in fitzgerald wash, finished with a square neckline. Styled for everyday.",IN_STOCK,NEW,USD,128,115.2,0,Fitzgerald Wash,#284CB1,Blue,Cotton,Solid,Dresses > Sundresses,Blue,0,Cotton,Solid,Everyday,Square,Sleeveless,,Mini,Mid,,,,,,,,,denim-sleeveless-mini-dress.jpg
35,JUUN-J-9704495,Denim Slip Dress,Juun. J,Shopbop,WOMEN,Slipdresses,Dresses,Slipdresses,,Dresses > Slipdresses,"This understated slipdress by Juun. J is a closet staple. It is cut from cotton fabric, in blue p, finished with a sweetheart neckline. Styled for everyday.",BACKORDER,NEW,USD,990,841.5,34,Blue P,#3151BC,Blue,Cotton,Solid,Dresses > Slipdresses,Blue,34,Cotton,Solid,Everyday,Sweetheart,Sleeveless,,Midi,High,,,,,,,,,denim-slip-dress.jpg
36,MACH-MACH-0197333,Double Bow Crystallized  High Heels,MACH & MACH,Shopbop,WOMEN,Strappy,Footwear,Pumps,Strappy,Footwear > Pumps > Strappy,"A modern strappy shoe from MACH & MACH. It is cut from leather fabric, in transparent in silver, a high (>3 in) heel. Styled for night out.",IN_STOCK,NEW,USD,1030,618,38,Transparent in Silver,#C3C0C8,Silver,Leather,Solid,Footwear > Pumps > Strappy,Silver,38,Leather,Solid,Night Out,,,,,,,,,High (>3 in),Skinny,Pointed,Buckle,,double-bow-crystallized-high-heels.jpg
37,SHOPBOP-HOME-2377944,Dusen Dusen Knit Throw,Shopbop @Home,Shopbop,UNISEX,Home,Home,,,Home,"A modern home from Shopbop @Home. It is cut from knit fabric, in a stripe print.",PREORDER,NEW,USD,180,135,One Size,Multi Stripe,#F7FFF3,White,Knit,Stripe,Home,Multi,,Knit,Stripe,,,,,,,,,,,,,,,dusen-dusen-knit-throw.jpg
38,GOOD-AMERICA-2612764,Easy Shirt,Good American,Shopbop,WOMEN,Button Downs,Tops,Button Downs,,Tops > Button Downs,"A polished button down from Good American. It is cut from cotton fabric, in blue549, finished with a collared neckline. Styled for everyday.",IN_STOCK,NEW,USD,129,129,0,Blue549,#2958B0,Blue,Cotton,Solid,Tops > Button Downs,Blue,0,Cotton,Solid,Everyday,Collared,Long,,,,,,,,,,Button,,easy-shirt.jpg
39,A-L-C-7409196,Eberly Top,A.L.C.,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"A structured pullover from A.L.C.. It is cut from stretchy fabric, in white, finished with a turtleneck neckline. Styled for everyday.",IN_STOCK,NEW,USD,195,195,S,White,#FAF3FA,White,Stretchy,Solid,Tops > Sweaters & Knits > Pullovers,White,L,Stretchy,Solid,Everyday,Turtleneck,Long,Fitted,Cropped,Mid,,,,,,,,Mid 1,eberly-top.jpg
40,SWEATY-BETTY-6451501,Essentials Joggers,Sweaty Betty,Shopbop,WOMEN,Sweatpants,Bottoms,Pants,Sweatpants,Bottoms > Pants > Sweatpants,"A structured sweatpant from Sweaty Betty. It is cut from stretchy fabric, in mid grey marl, an ankle length. Styled for active.",IN_STOCK,NEW,USD,78,54.6,S,Mid Grey Marl,#948589,Grey,Stretchy,Solid,Bottoms > Pants > Sweatpants,Grey,S,Stretchy,Solid,Active,,,,Ankle,Mid,Regular (30 in - 33 in),Jogger,,,,,,,essentials-joggers.jpg
41,SIMON-MILLER-4744001,F230 Bandi Mules,Simon Miller,Shopbop,WOMEN,Mules,Footwear,Espadrilles,Mules,Footwear > Espadrilles > Mules,"Simon Miller's relaxed take on the mule. It is cut from leather fabric, in a animal print, a low (1 in - 2 in) heel. Styled for everyday.",IN_STOCK,NEW,USD,595,416.5,38,Zebra Trip,#1D1A18,Black,Leather,Animal,Footwear > Espadrilles > Mules,Multi,38,Leather,Animal,Everyday,,,,,,,,,Low (1 in - 2 in),Wedge,Open,,,f230-bandi-mules.jpg
42,Z-SUPPLY-2931893,Face Coverings 4 Pack,Z Supply,Shopbop,UNISEX,Travel,Accessories,Travel,,Accessories > Travel,"This elevated travel accessory by Z Supply is a closet staple. It is cut from cotton fabric, in camo green/black. Styled for everyday.",IN_STOCK,NEW,USD,24,21.6,One Size,Camo Green/Black,#232218,Black,Cotton,Solid,Accessories > Travel,Black,,Cotton,Solid,Everyday,,,,,,,,,,,,,,face-coverings-4-pack.jpg
43,STAND-STUDIO-9991987,Farrah Coat,STAND STUDIO,Shopbop,WOMEN,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"An elevated puffers & parkas from STAND STUDIO. It is cut from cotton fabric, in black, finished with a hooded neckline. Styled for everyday.",IN_STOCK,NEW,USD,798,478.8,36,Black,#151C14,Black,Cotton,Solid,Tops > Jackets & Coats > Puffers & Parkas,Black,36,Cotton,Solid,Everyday,Hooded,Long,,Long,,,,,,,,Snap,Outer,farrah-coat.jpg
44,STAND-STUDIO-9991987-01,Farrah Coat - Black,STAND STUDIO,Shopbop,WOMEN,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"A relaxed puffers & parkas from STAND STUDIO. It is cut from cotton fabric, in black, finished with a hooded neckline. Styled for everyday.",IN_STOCK,NEW,USD,798,678.3,32,Black,#161817,Black,Cotton,Solid,Tops > Jackets & Coats > Puffers & Parkas,Black,32,Cotton,Solid,Everyday,Hooded,Long,,Long,,,,,,,,Zipper,Outer,farrah-coat.jpg
45,TIBI-4026125,Faux Leather Dress,Tibi,Shopbop,WOMEN,Slipdresses,Dresses,Slipdresses,,Dresses > Slipdresses,"This modern slipdress by Tibi is a closet staple. It is cut from leather fabric, in black, finished with a square neckline. Styled for everyday.",IN_STOCK,NEW,USD,695,695,0,Black,#201B16,Black,Leather,Solid,Dresses > Slipdresses,Black,0,Leather,Solid,Everyday,Square,Sleeveless,,Midi,,,,,Low (1 in - 2 in),,Pointed,,,faux-leather-dress.jpg
46,TIBI-4026125-01,Faux Leather Dress - Black,Tibi,Shopbop,WOMEN,Slipdresses,Dresses,Slipdresses,,Dresses > Slipdresses,"A refined slipdress from Tibi. It is cut from leather fabric, in black, finished with a square neckline. Styled for everyday.",IN_STOCK,NEW,USD,695,695,0,Black,#212021,Black,Leather,Solid,Dresses > Slipdresses,Black,0,Leather,Solid,Everyday,Square,Sleeveless,,Midi,Mid,,,,Low (1 in - 2 in),,Pointed,,,faux-leather-dress.jpg
47,PROENZA-SCHO-1825883,Faux Leather Shorts,Proenza Schouler White Label,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"A modern tailored bottoms from Proenza Schouler White Label. It is cut from leather fabric, in black, a short length. Styled for everyday.",IN_STOCK,NEW,USD,450,450,XS,Black,#1A2419,Black,Leather,Solid,Bottoms > Shorts > Tailored,Black,XS,Leather,Solid,Everyday,,,,Short,High,Short (<6 in),,,,,,,,faux-leather-shorts.jpg
48,MISA-0776225,Fernanda Dress,MISA,Shopbop,WOMEN,Slipdresses,Dresses,Slipdresses,,Dresses > Slipdresses,"MISA's structured take on the slipdress. It is cut from stretchy fabric, in a graphic print, finished with a scoop neckline. Styled for vacation.",BACKORDER,USED,USD,380,380,S,Disco Matrix,#C5C1C0,Silver,Stretchy,Graphic,Dresses > Slipdresses,Multi,S,Stretchy,Graphic,Vacation,Scoop,Sleeveless,,Maxi,Mid,,,,,,,,,fernanda-dress.jpg
49,LAFCO-NEW-YO-4801007,Feu De Bois Ski House Candle,LAFCO New York,Shopbop,UNISEX,Home,Home,,,Home,LAFCO New York's elevated take on the home. It is in feu de bois.,IN_STOCK,NEW,USD,65,65,One Size,Feu De Bois,#FFF8F4,White,,,Home,White,,,,,,,,,,,,,,,,,,feu-de-bois-ski-house-candle.jpg
50,HELMUT-LANG-5552841,Flat Front Shorts,Helmut Lang,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"Helmut Lang's structured take on the tailored bottoms. It is cut from suiting fabric, in black, a short length. Styled for everyday.",OUT_OF_STOCK,NEW,USD,350,280,0,Black,#142423,Black,Suiting,Solid,Bottoms > Shorts > Tailored,Black,0,Suiting,Solid,Everyday,,,,Short,High,Short (<6 in),,,High (>3 in),Skinny,Pointed,Zipper,,flat-front-shorts.jpg
51,ROXANNE-ASSO-9460272,Flower Stud Earrings,Roxanne Assoulin,Shopbop,WOMEN,Earrings,Jewelry,Earrings,,Jewelry > Earrings,A relaxed earring from Roxanne Assoulin. It is in multi.,IN_STOCK,NEW,USD,75,56.25,One Size,Multi,#304AB4,Blue,,,Jewelry > Earrings,Multi,,,,,,,,,,,,,,,,,,flower-stud-earrings.jpg
52,STAND-STUDIO-7097786,Frederica Coat,STAND STUDIO,Shopbop,WOMEN,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"A polished puffers & parkas from STAND STUDIO. It is cut from cotton fabric, in rust, finished with a hooded neckline.",OUT_OF_STOCK,USED,USD,998,748.5,32,Rust,#76512D,Brown,Cotton,Solid,Tops > Jackets & Coats > Puffers & Parkas,Brown,32,Cotton,Solid,,Hooded,Long,,Long,,,,,,,,Zipper,Outer,frederica-coat.jpg
53,AJE-2065229,Freecycle Denim Dress,Aje,Shopbop,WOMEN,Shirtdresses,Dresses,Shirtdresses,,Dresses > Shirtdresses,"A versatile shirtdress from Aje. It is cut from cotton fabric, in multi denim, finished with a collared neckline. Styled for everyday.",BACKORDER,USED,USD,425,340,4,Multi Denim,#284BB6,Blue,Cotton,Solid,Dresses > Shirtdresses,Multi,4,Cotton,Solid,Everyday,Collared,Short,Puffy,Mini,High,,,,,,,Button,,freecycle-denim-dress.jpg
