product_id,name,brand,retailer,category,category_level_1,category_level_2,category_level_3,category_path,description,size,original_color,primary_hex_color,primary_color_family,hex_colors,price_currency,price_msrp,price_paid,normalized_price_msrp,normalized_price_paid,perma_price_msrp,perma_price_paid,perma_original_color,perma_size,quantity,purchased_at,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
11,Belt 07,Janessa Leone,Shopbop,Belt,Belts,Belt,,Belts > Belt,"This refined belt belt by Janessa Leone is a closet staple. It is cut from leather fabric, in cognac, a buckle closure.",S/M,Cognac,#6B502A,Brown,"[{""hex"":""#6B502A"",""label"":""Cognac"",""shade"":""Mid"",""family"":""Brown"",""coverage"":1.0,""role"":""primary""}]",USD,240,120,240,120,240,120,Cognac,S/M,1,2024-09-11T21:23:00+00:00,Brown,,Leather,Solid,,,,,,,,,,,,,Buckle,,belt-07.jpg
12,Boxy Sweater with Rolled Edges,R13,Shopbop,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"This understated pullover by R13 is a closet staple. It is cut from cotton fabric, in natural, finished with a crew neckline. Styled for everyday.",XS,Natural,#F0E6D9,Cream,"[{""hex"":""#F0E6D9"",""label"":""Cream"",""shade"":""Light"",""family"":""Cream"",""coverage"":0.721,""role"":""primary""},{""hex"":""#C4B07A"",""label"":""Natural"",""shade"":""Mid"",""family"":""Tan"",""coverage"":0.279,""role"":""accent""}]",USD,495,247.5,495,247.5,495,247.5,Natural,XS,1,2023-06-17T12:59:45+00:00,Cream,XS,Cotton,Solid,Everyday,Crew,Long,Cuffed,Mid,,,,,,,,,,boxy-sweater-with-rolled-edges.jpg
13,Brushed Cotton Relaxed Pants,Bassike,Shopbop,Trousers,Bottoms,Pants,Trousers,Bottoms > Pants > Trousers,"Bassike's refined take on the trousers. It is cut from cotton fabric, in gold, an ankle length. Styled for everyday.",1,Gold,#CE9D41,Gold,"[{""hex"":""#CE9D41"",""label"":""Gold"",""shade"":""Mid"",""family"":""Gold"",""coverage"":1.0,""role"":""primary""}]",USD,380,190,380,190,380,190,Gold,1,1,2021-03-03T16:29:20+00:00,Gold,,Cotton,Solid,Everyday,,,,Ankle,Mid,Regular (30 in - 33 in),Wide Leg,,,,,,,brushed-cotton-relaxed-pants.jpg
14,Camille Long Coat,STAND STUDIO,Shopbop,Fur/Shearling,Tops,Jackets & Coats,Fur/Shearling,Tops > Jackets & Coats > Fur/Shearling,"This elevated fur/shearling top by STAND STUDIO is a closet staple. It is cut from knit fabric, in nougat, finished with a collared neckline. Styled for everyday.",32,Nougat,#6E4337,Brown,"[{""hex"":""#6E4337"",""label"":""Brown"",""shade"":""Mid"",""family"":""Brown"",""coverage"":1.0,""role"":""primary""}]",USD,480,240,480,240,480,240,Nougat,32,1,2020-11-12T15:38:34+00:00,Brown,32,Knit,Solid,Everyday,Collared,Long,,Long,,,,,,,,Button,Outer,camille-long-coat.jpg
15,Carla Bikini Bottoms,Leslie Amon,Shopbop,Bikinis,Bottoms,Swim,Bikinis,Bottoms > Swim > Bikinis,"This elevated bikini by Leslie Amon is a closet staple. It is cut from stretchy fabric, in a stripe print, sleeveless sleeves. Styled for vacation.",One Size,Polka Dots Crinkle,#F8FCF0,White,"[{""hex"":""#F8FCF0"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,125,62.5,125,62.5,125,62.5,Polka Dots Crinkle,One Size,1,2021-04-30T00:58:47+00:00,White,XL,Stretchy,Stripe,Vacation,,Sleeveless,,Short,High,Short (<6 in),,,,,,,,carla-bikini-bottoms.jpg
16,Carliy Leather Cap,Acne Studios,Shopbop,Baseball,Hats,Baseball,,Hats > Baseball,"This modern baseball hat by Acne Studios is a closet staple. It is cut from leather fabric, in black. Styled for everyday.",One Size,Black,#231A1C,Black,"[{""hex"":""#231A1C"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,380,190,380,190,380,190,Black,One Size,1,2020-11-02T19:02:36+00:00,Black,,Leather,Solid,Everyday,,,,,,,,,,,,,,carliy-leather-cap.jpg
17,Celeste One Shoulder Bikini Top,L*Space,Shopbop,Bikinis,Tops,Swim,Bikinis,Tops > Swim > Bikinis,"A relaxed bikini from L*Space. It is cut from stretchy fabric, in black, finished with an one shoulder neckline. Styled for vacation.",S,Black,#232216,Black,"[{""hex"":""#232216"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,99,49.5,99,49.5,99,49.5,Black,S,1,2021-05-05T14:18:10+00:00,Black,S,Stretchy,Solid,Vacation,One Shoulder,One Sleeve,,Bra,,,,,,,,,,celeste-one-shoulder-bikini-top.jpg
18,Chateau Mini Dress,Aje,Shopbop,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"This polished sundress by Aje is a closet staple. It is cut from cotton fabric, in sunshine, finished with an one shoulder neckline. Styled for everyday.",6,Sunshine,#EACA38,Yellow,"[{""hex"":""#EACA38"",""label"":""Yellow"",""shade"":""Mid"",""family"":""Yellow"",""coverage"":1.0,""role"":""primary""}]",USD,425,212.5,425,212.5,425,212.5,Sunshine,6,1,2021-06-07T17:12:36+00:00,Yellow,6,Cotton,Solid,Everyday,One Shoulder,Short,Puffy,Mini,High,,,,,,,,,chateau-mini-dress.jpg
19,Coin Pocket Bermuda,Vince,Bergdorf Goodman,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"A modern tailored bottoms from Vince. It is cut from cotton fabric, in black, a bermuda length. Styled for everyday.",0,Black,#142019,Black,"[{""hex"":""#142019"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,195,195,195,195,195,195,Black,0,1,2024-06-27T22:23:12+00:00,Black,0,Cotton,Solid,Everyday,,,,Bermuda,Mid,Short (<6 in),,,,,,,,coin-pocket-bermuda.jpg
20,Crepe Sole Fisherman Sandal (Women),The Row,Nordstrom,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"An easy-wearing strappy shoe from The Row. It is cut from leather fabric, in black, a flat (<1 in) heel. Styled for everyday.",Size 8US / 38EU,BLACK,#191823,Black,"[{""hex"":""#191823"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,630,630,630,630,630,630,BLACK,Size 8US / 38EU,1,2024-05-24T16:58:00+00:00,Black,,Leather,Solid,Everyday,,,,,,,,,Flat (<1 in),Flat,Open,Buckle,,crepe-sole-fisherman-sandal-women.jpg
21,Crew Neck Tess Shirt,L'AGENCE,Shopbop,Tees,Tops,Tees,,Tops > Tees,"This refined tee by L'AGENCE is a closet staple. It is cut from cotton fabric, in white, finished with a crew neckline. Styled for everyday.",XS,White,#F3F8EE,White,"[{""hex"":""#F3F8EE"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,125,125,125,125,125,125,White,XS,1,2024-02-01T20:41:26+00:00,White,XS,Cotton,Solid,Everyday,Crew,Short,,Mid,,,,,,,,,,crew-neck-tess-shirt.jpg
22,Distressed Edge Cardigan,R13,Shopbop,Cardigans,Tops,Sweaters & Knits,Cardigans,Tops > Sweaters & Knits > Cardigans,"This polished cardigan by R13 is a closet staple. It is cut from cotton fabric, in a check print, finished with a v-neck neckline. Styled for everyday.",XS,B&W Checkered,#F1F6EE,White,"[{""hex"":""#F1F6EE"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":0.721,""role"":""primary""},{""hex"":""#D0302E"",""label"":""W Checkered"",""shade"":""Mid"",""family"":""Red"",""coverage"":0.279,""role"":""accent""}]",USD,595,297.5,595,297.5,595,297.5,B&W Checkered,XS,1,2022-03-08T21:10:45+00:00,White,XS,Cotton,Check,Everyday,V-Neck,Long,,Mid,Mid,,,,,,,,Mid 1,distressed-edge-cardigan.jpg
23,Drift Puff Sleeve Mini Dress,Aje,Shopbop,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"Aje's refined take on the sundress. It is cut from cotton fabric, in a floral print, finished with a boat neckline. Styled for everyday.",4,Botanic Floral,#FAF4FC,White,"[{""hex"":""#FAF4FC"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,395,197.5,395,197.5,395,197.5,Botanic Floral,4,1,2022-03-08T21:10:45+00:00,White,4,Cotton,Floral,Everyday,Boat,Short,Puffy,Mini,Mid,,,,,,,,,drift-puff-sleeve-mini-dress.jpg
24,Essential Long Sleeve Turtleneck,Vince,Shopbop,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"A modern pullover from Vince. It is cut from cotton fabric, in optic white, finished with a turtleneck neckline. Styled for everyday.",XS,Optic White,#EFFEF8,White,"[{""hex"":""#EFFEF8"",""label"":""Optic White"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,95,47.5,95,47.5,95,47.5,Optic White,XS,1,2020-11-20T13:01:02+00:00,White,XS,Cotton,Solid,Everyday,Turtleneck,Long,,Mid,,,,,,,,,Base,essential-long-sleeve-turtleneck.jpg
25,Explorer Shorts,Sweaty Betty,Shopbop,Active,Bottoms,Shorts,Active,Bottoms > Shorts > Active,"A refined active bottoms from Sweaty Betty. It is cut from stretchy fabric, in black, sleeveless sleeves. Styled for active.",S,Black,#231D16,Black,"[{""hex"":""#231D16"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,78,39,78,39,78,39,Black,S,1,2024-09-11T21:23:00+00:00,Black,XL,Stretchy,Solid,Active,,Sleeveless,,Short,Mid,Short (<6 in),,,,,,,,explorer-shorts.jpg
26,F285 Raffia Cloudy Platform,Simon Miller,Shopbop,Mules,Footwear,Espadrilles,Mules,Footwear > Espadrilles > Mules,"Simon Miller's easy-wearing take on the mule. It is cut from knit fabric, in natural, a medium (2 in - 3 in) heel. Styled for everyday.",37,Natural,#EEE7D3,Cream,"[{""hex"":""#EEE7D3"",""label"":""Cream"",""shade"":""Light"",""family"":""Cream"",""coverage"":0.721,""role"":""primary""},{""hex"":""#C2A185"",""label"":""Natural"",""shade"":""Mid"",""family"":""Tan"",""coverage"":0.279,""role"":""accent""}]",USD,395,395,395,395,395,395,Natural,37,1,2024-03-28T10:36:42+00:00,Cream,37,Knit,Solid,Everyday,,,,,,,,,Medium (2 in - 3 in),Wedge,Open,,,f285-raffia-cloudy-platform.jpg
27,Facial Ice Roller,Kitsch,Shopbop,Skincare,Beauty,Skincare,,Beauty > Skincare,This refined skincare beauty pick by Kitsch is a closet staple. It is in pink.,One Size,Pink,#E885A8,Pink,"[{""hex"":""#E885A8"",""label"":""Pink"",""shade"":""Mid"",""family"":""Pink"",""coverage"":1.0,""role"":""primary""}]",USD,18,9,18,9,18,9,Pink,One Size,1,2020-04-24T14:27:26+00:00,Pink,,,,,,,,,,,,,,,,,,facial-ice-roller.jpg
28,Flutter Sleeve Eyelet Dress,En Saison,Shopbop,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"This understated sundress by En Saison is a closet staple. It is cut from cotton fabric, in natural, finished with a v-neck neckline. Styled for weekend.",XS,Natural,#684733,Brown,"[{""hex"":""#684733"",""label"":""Brown"",""shade"":""Mid"",""family"":""Brown"",""coverage"":0.721,""role"":""primary""},{""hex"":""#CEAD7A"",""label"":""Natural"",""shade"":""Mid"",""family"":""Tan"",""coverage"":0.279,""role"":""accent""}]",USD,136,68,136,68,136,68,Natural,XS,1,2021-04-30T00:58:47+00:00,Brown,XS,Cotton,Solid,Weekend,V-Neck,Short,Puffy,Midi,Mid,,,,High (>3 in),,Open,,,flutter-sleeve-eyelet-dress.jpg
29,Garment Dyed Silky Cotton Sid Chino Pants,Tibi,Shopbop,Cargo,Bottoms,Pants,Cargo,Bottoms > Pants > Cargo,"An understated cargo bottoms from Tibi. It is cut from cotton fabric, in acorn, an ankle length. Styled for everyday.",24,Acorn,#BFA27F,Tan,"[{""hex"":""#BFA27F"",""label"":""Tan"",""shade"":""Mid"",""family"":""Tan"",""coverage"":1.0,""role"":""primary""}]",USD,495,495,495,495,495,495,Acorn,24,1,2024-03-28T10:36:42+00:00,Tan,24,Cotton,Solid,Everyday,,,,Ankle,High,Regular (30 in - 33 in),Wide Leg,,,,,,,garment-dyed-silky-cotton-sid-chino-pants.jpg
30,Hide Puffer,Nanushka,Shopbop,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"This relaxed puffers & parkas by Nanushka is a closet staple. It is cut from leather fabric, in black, finished with a collared neckline.",XS,Black,#201716,Black,"[{""hex"":""#201716"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,620,310,620,310,620,310,Black,XS,1,2020-11-03T07:57:00+00:00,Black,XS,Leather,Solid,,Collared,Long,,Mid,,,,,,,,Zipper,Outer,hide-puffer.jpg
31,Jemma Puffer Jacket,Apparis,Shopbop,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"An understated puffers & parkas from Apparis. It is cut from leather fabric, in noir, finished with a turtleneck neckline.",S,Noir,#161822,Black,"[{""hex"":""#161822"",""label"":""Noir"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,385,192.5,385,192.5,385,192.5,Noir,S,1,2020-11-03T12:57:51+00:00,Black,S,Leather,Solid,,Turtleneck,Long,,Cropped,,,,,,,,Zipper,Outer,jemma-puffer-jacket.jpg
32,Kira Skirt,Devon Windsor,Shopbop,Sarongs,Bottoms,Skirts,Sarongs,Bottoms > Skirts > Sarongs,"A laid-back sarong from Devon Windsor. It is cut from stretchy fabric, in black, sleeveless sleeves. Styled for vacation.",S,Black,#191C1E,Black,"[{""hex"":""#191C1E"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,185,92.5,185,92.5,185,92.5,Black,S,1,2021-04-29T20:58:00+00:00,Black,XL,Stretchy,Solid,Vacation,,Sleeveless,,Maxi,High,Regular (30 in - 33 in),,,,,,,,kira-skirt.jpg
33,Large Shopper,Telfar,Shopbop,Totes,Bags,Totes,,Bags > Totes,"Telfar's versatile take on the tote. It is cut from leather fabric, in black. Styled for everyday.",One Size,Black,#212021,Black,"[{""hex"":""#212021"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,232,116,232,116,232,116,Black,One Size,1,2020-11-16T09:56:00+00:00,Black,,Leather,Solid,Everyday,,,,,,,,,,,,,,large-shopper.jpg
34,Lie On Pool Float,SunnyLife,Shopbop,Home,Home,,,Home,"A relaxed home from SunnyLife. It is cut from swim fabric, in a graphic print. Styled for vacation.",One Size,White,#FAFAED,White,"[{""hex"":""#FAFAED"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,70,35,70,35,70,35,White,One Size,1,2021-06-25T00:39:20+00:00,White,,Swim,Graphic,Vacation,,,,,,,,,,,,,,lie-on-pool-float.jpg
35,Logo Intarsia V Neck Sweater,Off-White,Shopbop,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"Off-White's easy-wearing take on the pullover. It is cut from knit fabric, in white black, finished with a v-neck neckline. Styled for everyday.",36,White Black,#F2F9F0,White,"[{""hex"":""#F2F9F0"",""label"":""White Black"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,775,387.5,775,387.5,775,387.5,White Black,36,1,2020-11-02T19:02:36+00:00,White,36,Knit,Solid,Everyday,V-Neck,Long,,Cropped,,,,,,,,,,logo-intarsia-v-neck-sweater.jpg
36,London Jeans,SLVRLAKE,Shopbop,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"A laid-back jeans from SLVRLAKE. It is cut from stretchy fabric, in salt flats, a straight leg leg. Styled for everyday.",25,Salt Flats,#334FB8,Blue,"[{""hex"":""#334FB8"",""label"":""Blue"",""shade"":""Mid"",""family"":""Blue"",""coverage"":1.0,""role"":""primary""}]",USD,329,164.5,329,164.5,329,164.5,Salt Flats,25,1,2020-01-11T14:29:25+00:00,Blue,25,Stretchy,Solid,Everyday,,,,,High,Regular (30 in - 33 in),Straight Leg,Ankle,Medium (2 in - 3 in),Block,Pointed,,,london-jeans.jpg
37,Luna Bikini Top,Leslie Amon,Shopbop,Bikinis,Tops,Swim,Bikinis,Tops > Swim > Bikinis,"Leslie Amon's elevated take on the bikini. It is cut from cotton fabric, in a check print, finished with a strapless neckline. Styled for vacation.",S,Black Vichy,#FBF3F2,White,"[{""hex"":""#FBF3F2"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":0.721,""role"":""primary""},{""hex"":""#1D2121"",""label"":""Black Vichy"",""shade"":""Dark"",""family"":""Black"",""coverage"":0.279,""role"":""accent""}]",USD,140,70,140,70,140,70,Black Vichy,S,1,2021-04-23T15:14:41+00:00,White,S,Cotton,Check,Vacation,Strapless,Sleeveless,,Bra,,,,,,,,,,luna-bikini-top.jpg
38,Mae Tie Shoulder Dress,Zimmermann,Shopbop,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"Zimmermann's easy-wearing take on the sundress. It is cut from cotton fabric, in a floral print, finished with a square neckline. Styled for everyday.",0,Rose Floral,#EEEDDD,Cream,"[{""hex"":""#EEEDDD"",""label"":""Cream"",""shade"":""Light"",""family"":""Cream"",""coverage"":1.0,""role"":""primary""}]",USD,650,325,650,325,650,325,Rose Floral,0,1,2021-06-07T17:12:36+00:00,Cream,0,Cotton,Floral,Everyday,Square,Sleeveless,,Midi,Mid,,,,,,,,,mae-tie-shoulder-dress.jpg
39,Menswear Suiting Asymmetrical Pleat Stella Pants,Tibi,Shopbop,Trousers,Bottoms,Pants,Trousers,Bottoms > Pants > Trousers,"A versatile trousers from Tibi. It is cut from suiting fabric, in a plaid print, an ankle length. Styled for work.",0,White/Black Multi,#FBFAF0,White,"[{""hex"":""#FBFAF0"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":0.721,""role"":""primary""},{""hex"":""#1D171E"",""label"":""Black Multi"",""shade"":""Dark"",""family"":""Black"",""coverage"":0.279,""role"":""accent""}]",USD,495,247.5,495,247.5,495,247.5,White/Black Multi,0,1,2023-02-08T11:46:00+00:00,White,0,Suiting,Plaid,Work,,,,Ankle,High,Regular (30 in - 33 in),Wide Leg,,,,,,,menswear-suiting-asymmetrical-pleat-stella-pants.jpg
40,Mix Prints Corset Top,Snow Xue Gao,Shopbop,Crop Tops,Tops,Crop Tops,,Tops > Crop Tops,"An understated crop top from Snow Xue Gao. It is cut from cotton fabric, in a floral print, finished with a square neckline. Styled for everyday.",4,Black/Purple,#23201B,Black,"[{""hex"":""#23201B"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":0.721,""role"":""primary""},{""hex"":""#7C39B1"",""label"":""Purple"",""shade"":""Mid"",""family"":""Purple"",""coverage"":0.279,""role"":""accent""}]",USD,395,197.5,395,197.5,395,197.5,Black/Purple,4,1,2023-02-08T11:46:00+00:00,Black,4,Cotton,Floral,Everyday,Square,Sleeveless,,Cropped,High,,,,,,,,,mix-prints-corset-top.jpg
41,Oversized Cropped Striped Sailor Sweater,Denimist,Shopbop,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"A refined pullover from Denimist. It is cut from cotton fabric, in a stripe print, finished with a crew neckline. Styled for everyday.",S,Navy/Cream Stripe,#EEE9D7,Cream,"[{""hex"":""#EEE9D7"",""label"":""Cream"",""shade"":""Light"",""family"":""Cream"",""coverage"":0.721,""role"":""primary""},{""hex"":""#284BBB"",""label"":""Navy"",""shade"":""Mid"",""family"":""Blue"",""coverage"":0.279,""role"":""accent""}]",USD,295,147.5,295,147.5,295,147.5,Navy/Cream Stripe,S,1,2023-06-17T12:59:45+00:00,Cream,S,Cotton,Stripe,Everyday,Crew,Long,Puffy,Cropped,,,,,,,,,,oversized-cropped-striped-sailor-sweater.jpg
